Game ID,Team 1,Team 2,City of match,Day,Date of Match,Time of Match,Avg Wind Speed,Avg Humidity,"Inn 1 Team 1 NOP R>25,SR>125","Inn 1 Team 1 NOP R<25, SR>125",Inn 1 Team 1 Total 4s,Inn 1 Team 1 Total 6s,Inn 1 Team 1 Max Strike Rate_ALLBatsmen,Inn 1 Team 2 NoP fast bowlers,Inn 1 Team 2 NoP Spinners,Inn 1 Team 2 wickets taken_catches_runout,Inn1 Team 2 wickets taken_ bowled _lbw_caught by keeper_stumping,Inn 1 Team 2 Extras conceded in_wides_No Balls,"Inn 2 Team 2 NOP R>25,SR>125","Inn 2 Team 2 NOP R<25, SR>125",Inn 2 Team 2 Total 4s,Inn 2 Team 2 Total 6s,Inn 2 Team 2 Max Strike Rate_ALLBatsmen,Inn 2 Team 1 NoP fast bowlers,Inn 2 Team 1 NoP Spinners,Inn 2 Team 1 wickets taken_catches_runout,Inn2 Team 1 wickets taken_ bowled _lbw_caught by keeper_stumping,Inn 2 Team 1 Extras conceded in_wides_No Balls,"Team won (team 1=1, team 2=0)"
270,Rajasthan Royals,Royal Challengers Bangalore, Bangalore,Sun,"Apr 15,2012",20:00:00,8,0.5,2,0,19,10,230.76,3,3,1,1,1,1,1,10,5,175,2,3,4,6,2,
271,Mumbai Indians,Delhi Daredevils, Mumbai,Mon,"Apr 16,2012",20:00:00,7,0.52,1,0,10,1,150,4,1,5,5,5,0,0,7,1,112.5,4,1,3,0,6,
272,Deccan Chargers,Rajasthan Royals, Jaipur,Tue,"Apr 17,2012",16:00:00,6,0.56,3,0,18,7,223.07,2,4,1,1,11,3,2,22,6,300,2,2,4,1,6,
273,Pune Warriors,Royal Challengers Bangalore, Bangalore,Tue,"Apr 17,2012",20:00:00,6,0.56,3,3,15,7,170,3,3,6,0,3,3,0,8,14,235.71,5,1,2,2,5,
274,Kings XI Punjab,Kolkata Knight Riders, Chandigarh,Wed,"Apr 18,2012",20:00:00,7,0.58,1,0,9,1,133.33,4,2,4,3,2,2,0,12,3,150,3,2,1,1,1,
275,Deccan Chargers,Delhi Daredevils, Delhi,Thu,"Apr 19,2012",16:00:00,6,0.61,2,0,15,3,166.66,4,2,6,2,6,1,2,12,9,160.93,3,3,4,1,4,
276,Chennai Super Kings,Pune Warriors, Chennai,Thu,"Apr 19,2012",20:00:00,6,0.61,1,2,15,5,233.33,4,2,5,0,1,0,3,11,2,216.66,3,3,6,1,8,
277,Kings XI Punjab,Royal Challengers Bangalore, Chandigarh,Fri,"Apr 20,2012",20:00:00,7,0.6,2,2,13,3,235.71,4,1,3,3,3,2,1,16,4,155.35,4,1,2,3,8,
278,Rajasthan Royals,Chennai Super Kings, Chennai,Sat,"Apr 21,2012",16:00:00,10,0.55,0,1,12,5,150,3,3,3,1,11,1,1,12,2,160,3,3,1,2,1,
279,Pune Warriors,Delhi Daredevils, Delhi,Sat,"Apr 21,2012",20:00:00,10,0.55,2,1,19,7,300,3,4,1,2,11,2,3,12,9,183.33,6,1,6,1,3,
280,Mumbai Indians,Kings XI Punjab, Mumbai,Sun,"Apr 22,2012",16:00:00,10,0.58,2,1,16,4,175,3,3,5,1,5,1,1,15,4,170,4,2,3,1,6,
281,Deccan Chargers,Kolkata Knight Riders, Cuttack,Sun,"Apr 22,2012",20:00:00,10,0.58,0,1,9,2,233.33,4,2,6,1,1,0,1,12,1,150,2,4,1,4,7,
282,Royal Challengers Bangalore,Rajasthan Royals, Jaipur,Mon,"Apr 23,2012",20:00:00,9,0.58,2,0,17,6,256.52,3,2,2,1,9,1,1,15,1,138.09,3,2,6,1,5,
283,Pune Warriors,Delhi Daredevils, Pune,Tue,"Apr 24,2012",16:00:00,8,0.66,1,0,13,3,142.85,3,2,1,1,0,2,1,14,5,181.25,4,1,2,0,2,
284,Deccan Chargers,Kolkata Knight Riders, Kolkata,Tue,"Apr 24,2012",20:00:00,8,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
285,Kings XI Punjab,Mumbai Indians, Chandigarh,Wed,"Apr 25,2012",16:00:00,8,0.59,2,1,12,7,200,5,2,2,1,10,2,1,13,6,228.57,3,2,4,2,5,
286,Chennai Super Kings,Royal Challengers Bangalore, Bangalore,Wed,"Apr 25,2012",20:00:00,8,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
287,Deccan Chargers,Pune Warriors, Pune,Thu,"Apr 26,2012",20:00:00,9,0.53,1,3,11,8,169.56,4,1,3,1,2,1,3,9,9,200,3,3,5,2,6,
288,Delhi Daredevils,Mumbai Indians, Delhi,Fri,"Apr 27,2012",20:00:00,9,0.54,3,1,22,9,214.28,4,2,3,2,7,2,2,17,6,200,4,1,6,3,4,
289,Kings XI Punjab,Chennai Super Kings, Chennai,Sat,"Apr 28,2012",16:00:00,8,0.58,1,6,14,4,175,3,4,6,2,5,2,3,11,5,233.33,3,4,6,2,3,
290,Kolkata Knight Riders,Royal Challengers Bangalore, Kolkata,Sat,"Apr 28,2012",20:00:00,8,0.58,2,1,18,9,182.35,3,3,3,1,4,1,0,12,7,148.27,4,2,3,3,3,
291,Delhi Daredevils,Rajasthan Royals, Delhi,Sun,"Apr 29,2012",16:00:00,6,0.66,2,2,13,5,161.53,2,3,5,1,3,1,0,17,1,133.33,4,1,2,1,4,
292,Deccan Chargers,Mumbai Indians, Mumbai,Sun,"Apr 29,2012",20:00:00,6,0.66,0,0,8,2,105.55,4,2,9,1,3,0,1,7,1,126.66,4,2,2,3,9,
293,Chennai Super Kings,Kolkata Knight Riders, Chennai,Mon,"Apr 30,2012",20:00:00,5,0.7,1,1,8,2,162.5,4,3,4,1,3,0,2,10,2,275,3,4,3,2,9,
294,Deccan Chargers,Pune Warriors, Cuttack,Tue,"May 1,2012",16:00:00,6,0.69,2,1,16,6,164.44,4,2,1,3,1,3,1,16,5,175,3,4,5,0,5,
295,Rajasthan Royals,Delhi Daredevils, Jaipur,Tue,"May 1,2012",20:00:00,6,0.69,2,0,16,1,132.55,3,3,3,3,3,1,1,18,3,366.66,2,4,2,2,1,
296,Royal Challengers Bangalore,Kings XI Punjab, Bangalore,Wed,"May 2,2012",20:00:00,6,0.7,1,1,11,8,169.04,5,2,2,3,5,3,1,14,6,300,4,2,4,2,2,
297,Mumbai Indians,Pune Warriors, Pune,Thu,"May 3,2012",20:00:00,6,0.73,0,0,10,2,108.69,4,2,7,2,7,0,1,12,1,166.66,4,2,2,4,6,
298,Chennai Super Kings,Deccan Chargers, Chennai,Fri,"May 4,2012",20:00:00,8,0.75,1,3,9,4,300,4,3,4,2,3,1,0,14,3,145.28,3,4,4,1,2,
299,Kolkata Knight Riders,Pune Warriors, Kolkata,Sat,"May 5,2012",16:00:00,9,0.75,1,1,9,4,155.55,4,2,3,2,13,1,2,11,4,157.14,2,3,6,2,6,
300,Rajasthan Royals,Kings XI Punjab, Chandigarh,Sat,"May 5,2012",20:00:00,9,0.75,3,1,18,6,211.76,4,1,5,1,4,1,1,13,3,133.33,4,2,5,3,7,
301,Chennai Super Kings,Mumbai Indians, Mumbai,Sun,"May 6,2012",16:00:00,7,0.74,2,1,13,8,171.42,5,2,5,3,5,2,2,21,5,266.66,3,3,4,4,3,
302,Deccan Chargers,Royal Challengers Bangalore, Bangalore,Sun,"May 6,2012",20:00:00,7,0.74,2,1,15,9,333.33,3,4,2,0,3,2,2,17,9,400,3,2,2,3,4,
303,Delhi Daredevils,Kolkata Knight Riders, Delhi,Mon,"May 7,2012",20:00:00,6,0.73,1,3,13,4,255.55,4,1,5,4,11,2,1,14,1,171.42,4,1,2,2,7,
304,Pune Warriors,Rajasthan Royals, Pune,Tue,"May 8,2012",16:00:00,7,0.72,1,0,5,2,150,4,2,2,4,3,1,0,13,4,176.47,4,2,3,0,0,
305,Kings XI Punjab,Deccan Chargers, Hyderabad,Tue,"May 8,2012",20:00:00,7,0.72,2,1,17,5,156.25,4,3,2,3,5,0,4,10,4,184.61,3,3,5,3,7,
306,Mumbai Indians,Royal Challengers Bangalore, Mumbai,Wed,"May 9,2012",20:00:00,8,0.72,0,3,12,3,166.66,3,2,5,1,2,2,0,9,8,144,3,3,0,1,3,
307,Deccan Chargers,Delhi Daredevils, Hyderabad,Thu,"May 10,2012",16:00:00,8,0.74,2,2,23,7,171.42,4,1,3,1,1,2,1,13,12,201.85,3,3,1,0,4,
308,Rajasthan Royals,Chennai Super Kings, Jaipur,Thu,"May 10,2012",20:00:00,8,0.74,1,1,12,2,150,4,2,4,2,6,0,3,11,5,300,4,1,5,1,13,
309,Royal Challengers Bangalore,Pune Warriors, Pune,Fri,"May 11,2012",20:00:00,8,0.7,1,1,13,9,225,5,1,3,0,5,1,2,14,2,165.21,3,2,2,7,1,
310,Mumbai Indians,Kolkata Knight Riders, Kolkata,Sat,"May 12,2012",16:00:00,7,0.73,1,0,19,7,181.66,3,2,0,1,3,2,1,14,4,400,4,2,2,2,2,
311,Delhi Daredevils,Chennai Super Kings, Chennai,Sat,"May 12,2012",20:00:00,7,0.73,0,1,4,3,200,3,3,3,2,5,1,0,11,4,140,4,1,1,0,1,
312,Rajasthan Royals,Pune Warriors, Jaipur,Sun,"May 13,2012",16:00:00,6,0.72,2,1,18,4,233.33,5,1,1,3,3,0,0,12,0,121.05,4,2,5,4,2,
313,Deccan Chargers,Kings XI Punjab, Chandigarh,Sun,"May 13,2012",20:00:00,6,0.72,2,2,15,6,240,4,2,4,0,3,4,2,20,7,266.66,4,2,4,2,2,
314,Royal Challengers Bangalore,Mumbai Indians, Bangalore,Mon,"May 14,2012",16:00:00,6,0.72,1,2,12,8,300,5,1,3,2,12,2,0,16,7,167.74,3,3,5,0,7,
315,Kolkata Knight Riders,Chennai Super Kings, Kolkata,Mon,"May 14,2012",20:00:00,6,0.72,2,3,13,7,190,2,4,5,1,1,3,2,13,7,157.14,8,0,3,2,1,
316,Kings XI Punjab,Delhi Daredevils, Delhi,Tue,"May 15,2012",20:00:00,7,0.72,0,4,19,1,175,4,2,5,3,1,0,2,18,3,190,4,1,2,3,1,
317,Kolkata Knight Riders,Mumbai Indians, Mumbai,Wed,"May 16,2012",20:00:00,7,0.73,0,2,12,3,171.42,5,1,2,5,8,0,4,9,3,160,2,3,4,6,2,
318,Chennai Super Kings,Kings XI Punjab, Dharamsala,Thu,"May 17,2012",16:00:00,5,0.73,0,2,9,6,175,4,2,3,4,1,1,1,18,2,139.13,4,1,0,4,2,
319,Royal Challengers Bangalore,Delhi Daredevils, Delhi,Thu,"May 17,2012",20:00:00,5,0.73,2,1,18,14,206.45,4,2,1,0,4,3,3,18,8,211.53,4,2,8,1,4,
320,Rajasthan Royals,Deccan Chargers, Hyderabad,Fri,"May 18,2012",20:00:00,8,0.73,0,0,10,2,117.64,4,2,5,3,4,0,2,10,3,250,4,2,5,0,8,
321,Kings XI Punjab,Delhi Daredevils, Dharamsala,Sat,"May 19,2012",16:00:00,8,0.72,1,2,16,4,250,5,0,5,3,7,1,0,15,7,179.54,4,1,3,1,7,
322,Kolkata Knight Riders,Pune Warriors, Pune,Sat,"May 19,2012",20:00:00,8,0.72,1,1,12,2,150,4,2,2,2,2,0,0,1,2,100,2,4,4,4,7,
323,Deccan Chargers,Royal Challengers Bangalore, Hyderabad,Sun,"May 20,2012",16:00:00,7,0.75,1,1,7,5,139.62,4,2,4,3,4,1,0,7,5,270,4,1,5,4,3,
324,Rajasthan Royals,Mumbai Indians, Jaipur,Sun,"May 20,2012",20:00:00,7,0.75,1,2,13,6,200,6,1,5,1,13,1,0,16,3,150,4,2,0,0,16,
325,Kolkata Knight Riders,Delhi Daredevils, Pune,Tue,"May 22,2012",20:00:00,6,0.74,2,1,14,6,218.18,4,1,3,1,2,0,4,14,3,200,3,3,4,4,5,
326,Chennai Super Kings,Mumbai Indians, Bangalore,Wed,"May 23,2012",20:00:00,6,0.74,3,0,23,6,255,6,1,4,1,3,1,3,14,5,200,3,3,5,4,6,
327,Chennai Super Kings,Delhi Daredevils, Chennai,Fri,"May 25,2012",20:00:00,6,0.74,3,1,24,9,275,3,3,3,2,5,1,5,7,7,171.42,3,2,7,3,7,
328,Chennai Super Kings,Kolkata Knight Riders, Chennai,Sun,"May 27,2012",20:00:00,7,0.75,3,1,13,8,192.1,3,4,2,1,4,2,2,18,6,300,3,2,4,1,7,
